[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Running: cifar10_badnets_none_split2_s42
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:39:52][cifar10_badnets_none_split2_s42][INFO] [Epoch 001][TRAIN] loss=2.0174 | train_acc=0.3186 | val_acc=0.4806 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:39:52][cifar10_badnets_none_split2_s42][INFO] [Epoch 2] WARM-UP PHASE
[2026-05-16 18:39:54][cifar10_badnets_none_split2_s42][INFO] [Epoch 002][TRAIN] loss=1.5903 | train_acc=0.4298 | val_acc=0.5331 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:39:54][cifar10_badnets_none_split2_s42][INFO] [Epoch 3] WARM-UP PHASE
[2026-05-16 18:39:55][cifar10_badnets_none_split2_s42][INFO] [Epoch 003][TRAIN] loss=1.4594 | train_acc=0.4742 | val_acc=0.5487 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:39:55][cifar10_badnets_none_split2_s42][INFO] [Epoch 4] WARM-UP PHASE
[2026-05-16 18:39:57][cifar10_badnets_none_split2_s42][INFO] [Epoch 004][TRAIN] loss=1.3362 | train_acc=0.5268 | val_acc=0.6189 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:39:57][cifar10_badnets_none_split2_s42][INFO] [Epoch 5] WARM-UP PHASE
[2026-05-16 18:39:59][cifar10_badnets_none_split2_s42][INFO] [Epoch 005][TRAIN] loss=1.2120 | train_acc=0.5781 | val_acc=0.6211 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:01][cifar10_badnets_none_split2_s42][INFO] [Epoch 006][TRAIN] loss=1.1969 | train_acc=0.5844 | val_acc=0.6681 | asr=0.0399 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:03][cifar10_badnets_none_split2_s42][INFO] [Epoch 007][TRAIN] loss=1.1431 | train_acc=0.6015 | val_acc=0.6778 | asr=0.0936 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:05][cifar10_badnets_none_split2_s42][INFO] [Epoch 008][TRAIN] loss=1.0854 | train_acc=0.6180 | val_acc=0.6904 | asr=0.0287 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:07][cifar10_badnets_none_split2_s42][INFO] [Epoch 009][TRAIN] loss=1.0496 | train_acc=0.6389 | val_acc=0.6621 | asr=0.1180 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:09][cifar10_badnets_none_split2_s42][INFO] [Epoch 010][TRAIN] loss=0.8085 | train_acc=0.7221 | val_acc=0.6956 | asr=0.0862 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:11][cifar10_badnets_none_split2_s42][INFO] [Epoch 011][TRAIN] loss=0.7178 | train_acc=0.7509 | val_acc=0.7125 | asr=0.0454 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:13][cifar10_badnets_none_split2_s42][INFO] [Epoch 012][TRAIN] loss=0.6760 | train_acc=0.7634 | val_acc=0.7250 | asr=0.0502 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:15][cifar10_badnets_none_split2_s42][INFO] [Epoch 013][TRAIN] loss=0.6710 | train_acc=0.7660 | val_acc=0.7337 | asr=0.0252 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:17][cifar10_badnets_none_split2_s42][INFO] [Epoch 014][TRAIN] loss=0.6370 | train_acc=0.7784 | val_acc=0.7546 | asr=0.0270 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:19][cifar10_badnets_none_split2_s42][INFO] [Epoch 015][TRAIN] loss=0.6042 | train_acc=0.7880 | val_acc=0.7516 | asr=0.0267 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:21][cifar10_badnets_none_split2_s42][INFO] [Epoch 016][TRAIN] loss=0.5841 | train_acc=0.7964 | val_acc=0.7489 | asr=0.0528 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:23][cifar10_badnets_none_split2_s42][INFO] [Epoch 017][TRAIN] loss=0.5924 | train_acc=0.7933 | val_acc=0.7535 | asr=0.0390 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:25][cifar10_badnets_none_split2_s42][INFO] [Epoch 018][TRAIN] loss=0.5575 | train_acc=0.8044 | val_acc=0.7640 | asr=0.0409 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:27][cifar10_badnets_none_split2_s42][INFO] [Epoch 019][TRAIN] loss=0.5398 | train_acc=0.8112 | val_acc=0.7696 | asr=0.0190 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
