[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Running: cifar10_blended_none_split2_s42
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:46:20][cifar10_blended_none_split2_s42][INFO] [Epoch 001][TRAIN] loss=2.0116 | train_acc=0.3200 | val_acc=0.4702 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:46:20][cifar10_blended_none_split2_s42][INFO] [Epoch 2] WARM-UP PHASE
[2026-05-16 18:46:22][cifar10_blended_none_split2_s42][INFO] [Epoch 002][TRAIN] loss=1.5733 | train_acc=0.4327 | val_acc=0.5058 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:46:22][cifar10_blended_none_split2_s42][INFO] [Epoch 3] WARM-UP PHASE
[2026-05-16 18:46:24][cifar10_blended_none_split2_s42][INFO] [Epoch 003][TRAIN] loss=1.4464 | train_acc=0.4836 | val_acc=0.5587 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:46:24][cifar10_blended_none_split2_s42][INFO] [Epoch 4] WARM-UP PHASE
[2026-05-16 18:46:26][cifar10_blended_none_split2_s42][INFO] [Epoch 004][TRAIN] loss=1.3412 | train_acc=0.5300 | val_acc=0.6118 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:46:26][cifar10_blended_none_split2_s42][INFO] [Epoch 5] WARM-UP PHASE
[2026-05-16 18:46:27][cifar10_blended_none_split2_s42][INFO] [Epoch 005][TRAIN] loss=1.2265 | train_acc=0.5756 | val_acc=0.5946 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:46:29][cifar10_blended_none_split2_s42][INFO] [Epoch 006][TRAIN] loss=1.1963 | train_acc=0.5824 | val_acc=0.6539 | asr=0.0357 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:46:31][cifar10_blended_none_split2_s42][INFO] [Epoch 007][TRAIN] loss=1.1490 | train_acc=0.6029 | val_acc=0.6936 | asr=0.0680 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
