[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Running: cifar10_lira_none_split2_s42
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:16:19][cifar10_lira_none_split2_s42][INFO] [Epoch 001][TRAIN] loss=1.7023 | train_acc=0.3850 | val_acc=0.4911 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:16:19][cifar10_lira_none_split2_s42][INFO] [Epoch 2] WARM-UP PHASE
[2026-05-16 18:16:20][cifar10_lira_none_split2_s42][INFO] [Epoch 002][TRAIN] loss=1.3699 | train_acc=0.5082 | val_acc=0.5733 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:16:20][cifar10_lira_none_split2_s42][INFO] [Epoch 3] WARM-UP PHASE
[2026-05-16 18:16:22][cifar10_lira_none_split2_s42][INFO] [Epoch 003][TRAIN] loss=1.2134 | train_acc=0.5676 | val_acc=0.6046 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:16:22][cifar10_lira_none_split2_s42][INFO] [Epoch 4] WARM-UP PHASE
[2026-05-16 18:16:24][cifar10_lira_none_split2_s42][INFO] [Epoch 004][TRAIN] loss=1.0943 | train_acc=0.6115 | val_acc=0.6401 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:16:24][cifar10_lira_none_split2_s42][INFO] [Epoch 5] WARM-UP PHASE
[2026-05-16 18:16:26][cifar10_lira_none_split2_s42][INFO] [Epoch 005][TRAIN] loss=1.0016 | train_acc=0.6458 | val_acc=0.6697 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:16:28][cifar10_lira_none_split2_s42][INFO] [Epoch 006][TRAIN] loss=0.9443 | train_acc=0.6665 | val_acc=0.6952 | asr=0.0498 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:16:30][cifar10_lira_none_split2_s42][INFO] [Epoch 007][TRAIN] loss=0.8947 | train_acc=0.6837 | val_acc=0.6879 | asr=0.0243 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
