[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] Running: cifar10_wanet_none_split2_s42
[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:27:04][cifar10_wanet_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:27:04][cifar10_wanet_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:27:06][cifar10_wanet_none_split2_s42][INFO] [Epoch 001][TRAIN] loss=1.9795 | train_acc=0.3367 | val_acc=0.4712 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:06][cifar10_wanet_none_split2_s42][INFO] [Epoch 2] WARM-UP PHASE
[2026-05-16 18:27:07][cifar10_wanet_none_split2_s42][INFO] [Epoch 002][TRAIN] loss=1.3152 | train_acc=0.5319 | val_acc=0.5738 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:07][cifar10_wanet_none_split2_s42][INFO] [Epoch 3] WARM-UP PHASE
[2026-05-16 18:27:09][cifar10_wanet_none_split2_s42][INFO] [Epoch 003][TRAIN] loss=1.1302 | train_acc=0.5985 | val_acc=0.5984 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:09][cifar10_wanet_none_split2_s42][INFO] [Epoch 4] WARM-UP PHASE
[2026-05-16 18:27:11][cifar10_wanet_none_split2_s42][INFO] [Epoch 004][TRAIN] loss=1.0109 | train_acc=0.6463 | val_acc=0.6508 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:11][cifar10_wanet_none_split2_s42][INFO] [Epoch 5] WARM-UP PHASE
[2026-05-16 18:27:13][cifar10_wanet_none_split2_s42][INFO] [Epoch 005][TRAIN] loss=0.9498 | train_acc=0.6670 | val_acc=0.6757 | asr=0.0000 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:15][cifar10_wanet_none_split2_s42][INFO] [Epoch 006][TRAIN] loss=0.8599 | train_acc=0.6960 | val_acc=0.6919 | asr=0.0094 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:17][cifar10_wanet_none_split2_s42][INFO] [Epoch 007][TRAIN] loss=0.8114 | train_acc=0.7172 | val_acc=0.6878 | asr=0.0404 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:19][cifar10_wanet_none_split2_s42][INFO] [Epoch 008][TRAIN] loss=0.7647 | train_acc=0.7324 | val_acc=0.7221 | asr=0.0560 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:21][cifar10_wanet_none_split2_s42][INFO] [Epoch 009][TRAIN] loss=0.7292 | train_acc=0.7440 | val_acc=0.7097 | asr=0.0127 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:23][cifar10_wanet_none_split2_s42][INFO] [Epoch 010][TRAIN] loss=0.7216 | train_acc=0.7461 | val_acc=0.7135 | asr=0.0200 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:25][cifar10_wanet_none_split2_s42][INFO] [Epoch 011][TRAIN] loss=0.6816 | train_acc=0.7609 | val_acc=0.7098 | asr=0.0134 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
